 	Area	Mean	Min	Max	Perim.
1	3	255	255	255	5.657
2	10	255	255	255	11.071
3	20	255	255	255	16.142
4	4	255	255	255	5.657
5	2	255	255	255	4.243
6	28	255	255	255	24.728
7	28	255	255	255	18.728
8	14	255	255	255	13.314
9	15	255	255	255	13.314
10	2	255	255	255	4.828
11	27	255	255	255	18.142
12	10	255	255	255	10.485
13	29	255	255	255	18.728
14	21	255	255	255	15.899
15	14	255	255	255	12.485
16	49	255	255	255	28.627
17	18	255	255	255	14.485
18	7	255	255	255	9.071
19	13	255	255	255	13.314
20	37	255	255	255	23.556
21	51	255	255	255	26.971
22	9	255	255	255	9.657
23	1	255	255	255	2.828
24	18	255	255	255	14.728
25	3	255	255	255	5.657
26	36	255	255	255	21.314
27	21	255	255	255	15.899
28	9	255	255	255	10.485
29	29	255	255	255	19.314
30	54	255	255	255	25.799
31	18	255	255	255	14.485
32	28	255	255	255	18.728
33	39	255	255	255	22.971
34	2	255	255	255	4.243
35	21	255	255	255	15.314
36	11	255	255	255	11.314
37	23	255	255	255	17.556
38	56	255	255	255	30.042
39	11	255	255	255	11.899
40	28	255	255	255	18.728
41	11	255	255	255	11.899
42	23	255	255	255	16.728
43	23	255	255	255	16.485
44	43	255	255	255	24.971
45	10	255	255	255	10.485
46	19	255	255	255	16.728
47	28	255	255	255	19.314
48	10	255	255	255	11.071
49	32	255	255	255	20.728
50	40	255	255	255	22.971
51	23	255	255	255	16.728
52	35	255	255	255	21.556
53	26	255	255	255	24.485
54	1	255	255	255	2.828
55	11	255	255	255	11.071
56	22	255	255	255	16.142
57	28	255	255	255	20.142
58	13	255	255	255	11.899
59	45	255	255	255	24.142
60	29	255	255	255	19.071
61	34	255	255	255	20.728
62	8	255	255	255	9.899
63	11	255	255	255	11.071
64	7	255	255	255	8.485
65	1	255	255	255	2.828
66	13	255	255	255	14.728
67	22	255	255	255	18.142
68	16	255	255	255	14.142
69	11	255	255	255	11.071
70	20	255	255	255	15.899
71	1	255	255	255	2.828
72	21	255	255	255	16.485
